,Episode,Training_Accuracy,Validation_Accuracy
100,,0.0,0.08333333333333333
101,,0.5,0.6551724137931034
102,,0.0,0.0
103,,0.0,0.3888888888888889
104,,0.8928571428571429,0.2
105,,0.0,0.0
106,,0.0,0.23076923076923078
107,,0.3333333333333333,0.0
108,,0.0,0.0
109,,0.47619047619047616,0.0
110,,0.0,0.5384615384615384
111,,0.0,0.0
112,,0.0,0.0
113,,0.0,0.0
114,,0.0,0.0
115,,0.0,0.0
116,,0.0,0.0
117,,0.0,0.0
118,,0.2608695652173913,0.3333333333333333
119,,0.0,0.0
120,,0.0,0.20454545454545456
121,,0.8,0.8431372549019608
122,,0.0,0.0
123,,0.0,0.0
124,,0.0,0.6785714285714286
125,,0.0,0.0
126,,0.5833333333333334,0.696969696969697
127,,0.7692307692307693,0.3181818181818182
128,,0.375,0.0
129,,0.0,0.0
130,,0.0,0.7368421052631579
131,,0.0,0.11764705882352941
132,,0.0,0.0
133,,0.0,0.8
134,,0.0,0.36538461538461536
135,,0.45454545454545453,0.0
136,,0.0,0.0
137,,0.0,0.1
138,,0.0,0.0
139,,0.0,0.08823529411764706
140,,0.0,0.0
141,,0.0,0.0
142,,0.6571428571428571,0.0
143,,0.058823529411764705,0.0
144,,0.0,0.0
145,,0.75,0.35
146,,0.0,0.0
147,,0.0,0.0
148,,0.0,0.42857142857142855
149,,0.0,0.0
150,,0.796875,0.0
151,,0.0,0.0
152,,0.6818181818181818,0.0
153,,0.0,0.0
154,,0.0,0.0
155,,0.0,0.0
156,,0.0,0.0
157,,0.0,0.30434782608695654
158,,0.0,0.2916666666666667
159,,0.5,0.23529411764705882
160,,0.0,0.7368421052631579
161,,0.0,0.5416666666666666
162,,0.0,0.0
163,,0.0,0.9333333333333333
164,,0.0,0.0
165,,0.0,0.0
166,,0.0,0.26666666666666666
167,,0.0,0.0
168,,0.0,0.0
169,,0.0,0.0
170,,0.0,0.0
171,,0.0,0.0
172,,0.875,0.0
173,,0.0,0.0
174,,0.0,0.0
175,,0.765625,0.0
176,,0.40476190476190477,0.5909090909090909
177,,0.0,0.0
178,,0.0,0.0
179,,0.375,0.1
180,,0.0,0.0
181,,0.0,0.0
182,,0.0,0.0
183,,0.4647887323943662,0.5714285714285714
184,,0.0,0.15384615384615385
185,,0.0,0.1111111111111111
186,,0.0,0.5263157894736842
187,,0.0,0.0
188,,0.0,0.0
189,,0.0,0.0
190,,0.1875,0.0
191,,0.75,0.4
192,,0.0,0.0
193,,0.0,0.5
194,,0.0625,0.0
195,,0.14545454545454545,0.0
196,,0.7692307692307693,0.0
197,,0.0,0.0
198,,0.014285714285714285,0.0
199,,0.0,0.15384615384615385
200,,0.0,0.0
201,,0.7087912087912088,0.6744186046511628
202,,0.8214285714285714,0.625
203,,0.0,0.0
204,,0.0,0.0
205,,0.0,0.15
206,,0.6785714285714286,0.0
207,,0.21739130434782608,0.0
208,,0.3076923076923077,0.0
209,,0.0,0.6842105263157895
210,,0.0,0.058823529411764705
211,,0.0,0.0
212,,0.47619047619047616,0.5
213,,0.2,0.0
214,,0.0,0.0
215,,0.28205128205128205,0.0
216,,0.0,0.0
217,,0.0,0.0
218,,0.0,0.0
219,,0.09090909090909091,0.0
220,,0.28205128205128205,0.5
221,,0.0,0.0
222,,0.0,0.0
223,,0.0,0.0
224,,0.0,0.0
225,,0.0,0.0
226,,0.0,0.0
227,,0.0,0.0
228,,0.0,0.0
229,,0.0,0.0
230,,0.3684210526315789,0.12
231,,0.0,0.0
232,,0.0,0.3673469387755102
233,,0.47368421052631576,0.32
234,,0.0,0.45454545454545453
235,,0.47619047619047616,0.0
236,,0.2222222222222222,0.0
237,,0.0,0.0
238,,0.0,0.0
239,,0.0,0.0
240,,0.0,0.2
241,,0.5113636363636364,0.0
242,,0.0,0.0
243,,0.0,0.0
244,,0.23809523809523808,0.0
245,,0.3333333333333333,0.46153846153846156
246,,0.0,0.5833333333333334
247,,0.5869565217391305,0.0
248,,0.0,0.3673469387755102
249,,0.0,0.0
250,,0.0,0.0
251,,0.5789473684210527,0.32142857142857145
252,,0.36363636363636365,0.0
253,,0.0,0.4
254,,0.5,0.631578947368421
255,,0.0,0.08695652173913043
256,,0.0,0.0
257,,0.0,0.0
258,,0.0,0.0
259,,0.0,0.0
260,,0.47619047619047616,0.0
261,,0.0,0.0
262,,0.0,0.06666666666666667
263,,0.0,0.7058823529411765
264,,0.0,0.0
265,,0.0,0.3125
266,,0.0,0.08
267,,0.0,0.0
268,,0.0,0.0
269,,0.0,0.0
270,,0.0,0.0
271,,0.0,0.0
272,,0.0,0.0
273,,0.0,0.0
274,,0.0,0.8461538461538461
275,,0.6190476190476191,0.11764705882352941
276,,0.0,0.16666666666666666
277,,0.08333333333333333,0.21052631578947367
278,,0.0,0.5
279,,0.0,0.0
280,,0.038461538461538464,0.0
281,,0.7368421052631579,0.0
282,,0.0,0.0
283,,0.875,0.0
284,,0.13636363636363635,0.45454545454545453
285,,0.5084745762711864,0.38461538461538464
286,,0.0,0.3076923076923077
287,,0.0,0.0
288,,0.0,0.0
289,,0.0,0.0
290,,0.6363636363636364,0.5
291,,0.0,0.0
292,,0.0,0.0
293,,0.0,0.0
294,,0.0,0.0
295,,0.0,0.0
296,,0.0,0.06666666666666667
297,,0.0,0.0
298,,0.0,0.0
299,,0.0,0.0
300,,0.125,0.058823529411764705
301,,0.0,0.0
302,,0.0,0.0
303,,0.2857142857142857,0.0
304,,0.0,0.16
305,,0.0,0.0
306,,0.0,0.0
307,,0.0,0.5555555555555556
308,,0.0,0.21739130434782608
309,,0.2727272727272727,0.0
310,,0.0,0.7441860465116279
311,,0.0,0.0
312,,0.0,0.0
313,,0.0,0.0
314,,0.0,0.0
315,,0.6521739130434783,0.0
316,,0.0,0.0
317,,0.0,0.7222222222222222
318,,0.0,0.0
319,,0.0,0.0
320,,0.0,0.25
321,,0.0,0.2826086956521739
322,,0.0,0.8
323,,0.0,0.2962962962962963
324,,0.0,0.0
325,,0.0,0.0
326,,0.0,0.0
327,,0.0,0.0
328,,0.0,0.0
329,,0.1,0.0
330,,0.0,0.0
331,,0.0,0.0
332,,0.0,0.0
333,,0.0,0.0
334,,0.0,0.0
335,,0.8717948717948718,0.0
336,,0.0,0.0
337,,0.0,0.0
338,,0.0,0.0
339,,0.0,0.04363636363632395
340,,0.14285714285714285,0.0
341,,0.0,0.0
342,,0.0,0.0
343,,0.625,0.0
344,,0.0,0.0
345,,0.631578947368421,0.0
346,,0.0,0.6896551724137931
347,,0.0,0.0
348,,0.0,0.0
349,,0.0,0.0
350,,0.0,0.0
351,,0.0,0.0
352,,0.0,0.0
353,,0.0,0.0
354,,0.0,0.3125
355,,0.3157894736842105,0.1111111111111111
356,,0.0625,0.0
357,,0.0,0.0
358,,0.0,0.0
359,,0.0,0.0
360,,0.6896551724137931,0.21052631578947367
361,,0.0,0.0
362,,0.8631578947368421,0.5208333333333334
363,,0.0,0.0
364,,0.0,0.0
365,,0.0,0.0
366,,0.0,0.02857142857142857
367,,0.0,0.0
368,,0.0,0.16666666666666666
369,,0.0,0.0
370,,0.0,0.0
371,,0.0,0.5714285714285714
372,,0.0,0.0
373,,0.0,0.0
374,,0.0,0.0
375,,0.0,0.7222222222222222
376,,0.0,0.0
377,,0.8188888888888768,0.0
378,,0.0,0.375
379,,0.0,0.0
380,,0.03571428571428571,0.0
381,,0.5185185185185185,0.0
382,,0.0,0.55
383,,0.0,0.6764705882352942
384,,0.0,0.34615384615384615
385,,0.5238095238095238,0.0
386,,0.45454545454545453,0.3391999999999825
387,,0.0,0.0
388,,0.0,0.0
389,,0.0,0.0
390,,0.0,0.0
391,,0.0,0.3125
392,,0.0,0.05454545454545454
393,,0.0,0.0
394,,0.0,0.0
395,,0.0,0.7083333333333334
396,,0.0,0.0
397,,0.0,0.0
398,,0.0,0.42857142857142855
399,,0.03614457831325301,0.0
400,,0.0,0.0
401,,0.0,0.7087912087912088
402,,0.5555555555555556,0.0
403,,0.0,0.0
404,,0.0,0.47619047619047616
405,,0.0,0.0
406,,0.0,0.0
407,,0.0,0.7142857142857143
408,,0.0,0.0
409,,0.2,0.0
410,,0.13333333333333333,0.0
411,,0.0,0.0
412,,0.6666666666666666,0.0
413,,0.5666666666666667,0.0
414,,0.1111111111111111,0.0
415,,0.0,0.6153846153846154
416,,0.43333333333333335,0.0
417,,0.0,0.0
418,,0.0,0.0
419,,0.0,0.0
420,,0.0,0.0
421,,0.0,0.0
422,,0.1,0.19047619047619047
423,,0.0,0.0
424,,0.0,0.0
425,,0.0,0.603448275862069
426,,0.07692307692307693,0.0
427,,0.0,0.0
428,,0.1111111111111111,0.0
429,,0.1111111111111111,0.0
430,,0.058823529411764705,0.0
431,,0.0,0.0
432,,0.0,0.45454545454545453
433,,0.0,0.0
434,,0.0,0.0
435,,0.43478260869565216,0.3333333333333333
436,,0.0,0.1
437,,0.0,0.0
438,,0.0,0.0
439,,0.07789473684208228,0.0
440,,0.0,0.0
441,,0.05555555555555555,0.0
442,,0.0,0.0
443,,0.0,0.47368421052631576
444,,0.0,0.0
445,,0.38095238095238093,0.25
446,,0.058823529411764705,0.3333333333333333
447,,0.25,0.0
448,,0.0,0.0
449,,0.0,0.22727272727272727
450,,0.34210526315789475,0.0
451,,0.0,0.0
452,,0.0,0.0
453,,0.375,0.0
454,,0.25,0.0
455,,0.42857142857142855,0.6111111111111112
456,,0.0,0.0
457,,0.0,0.0
458,,0.0,0.07142857142857142
459,,0.0,0.0
460,,0.0,0.0
461,,0.0,0.0
462,,0.0,0.11764705882352941
463,,0.0,0.5714285714285714
464,,0.0,0.0
465,,0.0,0.0
466,,0.782608695652174,0.0
467,,0.0,0.0
468,,0.0,0.0
469,,0.0,0.0
470,,0.7368421052631579,0.2976190476190476
471,,0.0,0.0
472,,0.0,0.0
473,,0.0,0.0
474,,0.15,0.0
475,,0.6842105263157895,0.0
476,,0.7307692307692307,0.0
477,,0.0,0.0
478,,0.0,0.6818181818181818
479,,0.0,0.0
480,,0.0,0.0
481,,0.0,0.0
482,,0.0,0.0
483,,0.0,0.4444444444444444
484,,0.0625,0.0
485,,0.0,0.0
486,,0.0,0.0
487,,0.2413793103448276,0.0
488,,0.2857142857142857,0.0
489,,0.0,0.0
490,,0.9230769230769231,0.0
491,,0.0,0.0
492,,0.48148148148148145,0.0
493,,0.0,0.0
494,,0.0,0.13333333333333333
495,,0.6111111111111112,0.0
496,,0.0,0.0
497,,0.0,0.0
498,,0.0,0.0
499,,0.0,0.0
500,,0.0,0.0
501,,0.0,0.5
502,,0.05263157894736842,0.0
503,,0.0,0.0
504,,0.0,0.0
505,,0.0,0.0
506,,0.0,0.1111111111111111
507,,0.0,0.7878787878787878
508,,0.5555555555555556,0.0
509,,0.0,0.6333333333333333
510,,0.08695652173913043,0.0
511,,0.0,0.38095238095238093
512,,0.0,0.0
513,,0.0,0.4444444444444444
514,,0.0,0.0
515,,0.0,0.0
516,,0.0,0.0
517,,0.0,0.0
518,,0.0,0.0
519,,0.34615384615384615,0.0
520,,0.0,0.0
521,,0.18181818181818182,0.4
522,,0.7,0.0
523,,0.0,0.0
524,,0.0,0.0
525,,0.0,0.0
526,,0.3939393939393939,0.0
527,,0.0,0.6486486486486487
528,,0.0,0.0
529,,0.0,0.18181818181818182
530,,0.0,0.0
531,,0.19047619047619047,0.0
532,,0.0,0.18181818181818182
533,,0.0,0.0
534,,0.21739130434782608,0.0
535,,0.0,0.0
536,,0.05,0.0
537,,0.0,0.6363636363636364
538,,0.0,0.0
539,,0.0,0.2063273727647873
540,,0.42105263157894735,0.0
541,,0.0,0.0
542,,0.24,0.0
543,,0.0,0.2
544,,0.0,0.0
545,,0.0,0.0
546,,0.0,0.05555555555555555
547,,0.7777777777777778,0.0
548,,0.6111111111111112,0.0
549,,0.0,0.0
550,,0.0,0.0
551,,0.0,0.0
552,,0.5238095238095238,0.0
553,,0.6704545454545454,0.0
554,,0.0,0.0
555,,0.0,0.0
556,,0.0,0.1875
557,,0.0,0.0
558,,0.16666666666666666,0.0
559,,0.16666666666666666,0.0
560,,0.0,0.0
561,,0.0,0.0
562,,0.0,0.0
563,,0.23076923076923078,0.0
564,,0.0,0.0
565,,0.15789473684210525,0.18181818181818182
566,,0.32142857142857145,0.4
567,,0.8108108108108109,0.0
568,,0.6666666666666666,0.0
569,,0.0,0.0
570,,0.7142857142857143,0.0
